,phrase,label,sentiment,subjectivity,language,count,gnd,geonames,geotype,latitude,longitude,continent,country,ipcc
Nepal,Nepal,LOC,-0.28259092,0.36927370,es,8.70000000,4041612-4,1282988,A,28.00000000,84.00000000,ASIA,Nepal,TIB
Cima Vertana,Cima Vertana,LOC,-0.50221811,0.10459588,es,5.70000000,,6690374,T,46.53832000,10.63537000,EUROPE,Italy,WCE
Alpes,Alpes,LOC,-0.40232487,0.54276061,es,5.60000000,4075416-9,2990440,P,43.70313000,7.26608000,EUROPE-AFRICA,France,MED
Austria,Austria,LOC,-0.52306604,0.67793132,es,5.50000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Ortler,Ortler,LOC,-0.57708111,0.04086740,es,3.90000000,4795224-6,3171890,T,46.50929000,10.54458000,EUROPE,Italy,WCE
glaciar Stubai,glaciar Stubai,LOC,-0.25284318,0.80883390,es,3.70000000,,0,,,,,,
Himalaya,Himalaya,LOC,-0.85755632,0.02566865,es,3.00000000,4024923-2,1252558,T,28.00000000,84.00000000,ASIA,Nepal,TIB
los Alpes,los Alpes,LOC,-0.60709931,0.04519072,es,3.00000000,4122668-9,3038350,P,45.69173000,5.90863000,EUROPE,France,WCE
Tirol del Sur,Tirol del Sur,LOC,-0.59468597,0.03435947,es,3.00000000,,13025129,P,-29.39218000,-51.22480000,SOUTH-AMERICA,Brazil,SES
Ciudad de México,Ciudad de México,LOC,0.04278580,1.04213326,es,1.90000000,4039060-3,3530597,P,19.42847000,-99.12766000,CENTRAL-AMERICA,Mexico,NCA
Tirol,Tirol,LOC,-0.61078057,0.26050905,es,1.90000000,4027096-8,2775220,P,47.26266000,11.39454000,EUROPE,Austria,WCE
Ceuta,Ceuta,LOC,-0.53098197,0.59711287,es,1.90000000,4085201-5,6362987,P,35.88919000,-5.32042000,EUROPE-AFRICA,Spain,MED
pico Yalung Ri,pico Yalung Ri,LOC,-0.47119103,0.27707385,es,1.90000000,,0,,,,,,
Armero,Armero,LOC,-1.54241887,0.06277085,es,1.60000000,,3689552,A,4.98873000,-74.88130000,SOUTH-AMERICA,Colombia,NWS
volcán Nevado,volcán Nevado,LOC,-1.32791628,0.00270246,es,1.30000000,,4013510,T,19.51247000,-103.61678000,CENTRAL-AMERICA,Mexico,NCA
Ruiz,Ruiz,LOC,-1.32791628,0.00270246,es,1.30000000,,3670563,T,4.89260000,-75.32380000,SOUTH-AMERICA,Colombia,NWS
Pamplona,Pamplona,LOC,0.51640127,2.46296257,es,1.20000000,4115835-0,3114472,P,42.81687000,-1.64323000,EUROPE-AFRICA,Spain,MED
Venezuela,Venezuela,LOC,0.35413187,2.45891660,es,1.20000000,4062512-6,3625428,A,8.00000000,-66.00000000,SOUTH-AMERICA,Venezuela,NSA
España,España,LOC,-1.12730471,1.77877589,es,1.10000000,4055964-6,2510769,A,40.00000000,-4.00000000,EUROPE-AFRICA,Spain,MED
Toronto,Toronto,LOC,0.89369350,0.03438568,es,1.10000000,4060459-7,6167865,P,43.70643000,-79.39864000,NORTH-AMERICA,Canada,ENA
Costa Rica Unosturistas,Costa Rica Unosturistas,LOC,-0.77844082,0.68440372,es,1.00000000,,0,,,,,,
Solana,Solana,LOC,0.16333396,0.98015159,es,1.00000000,4323123-8,2510839,P,38.72527000,-6.53899000,EUROPE-AFRICA,Spain,MED
Wall Street,Wall Street,LOC,-0.71492765,0.89287215,es,1.00000000,,11496274,L,34.02052000,-86.04554000,NORTH-AMERICA,United States,ENA
Zelenski,Zelenski,LOC,0.12846240,0.99287438,es,1.00000000,,3243557,T,44.20583000,18.46556000,EUROPE-AFRICA,Bosnia and Herzegovina,MED
Kiev,Kiev,LOC,0.12846240,0.99287438,es,1.00000000,4030522-3,703448,P,50.45466000,30.52380000,EUROPE,Ukraine,WCE
Cibeles,Cibeles,LOC,-0.22406010,0.98382539,es,1.00000000,,8504628,S,40.41925000,-3.69327000,EUROPE-AFRICA,Spain,MED
San José,San José,LOC,-0.77844082,0.68440372,es,1.00000000,4116320-5,3621849,P,9.93388000,-84.08489000,CENTRAL-AMERICA,Costa Rica,SCA
Stubai,Stubai,LOC,-0.69392467,0.43866277,es,1.00000000,4077975-0,2764095,T,47.08333000,11.16667000,EUROPE,Austria,WCE
JornadaViernes,JornadaViernes,LOC,0.04064651,0.99002659,es,1.00000000,,0,,,,,,
Costa Rica,Costa Rica,LOC,-0.77844082,0.68440372,es,1.00000000,4010618-4,3624060,A,10.00000000,-84.00000000,CENTRAL-AMERICA,Costa Rica,SCA
Austria.,Austria.,LOC,-0.14043052,0.58005148,es,1.00000000,4043271-3,2782113,A,47.33333000,13.33333000,EUROPE,Austria,WCE
Ministerio Público,Ministerio Público,LOC,-0.73645787,0.25458512,es,1.00000000,,6945841,S,18.81241000,-99.67000000,CENTRAL-AMERICA,Mexico,SCA
