,phrase,label,sentiment,subjectivity,language,count
Natalia Román,Natalia Román,PER,-0.8497594336683792,0.6364896947449845,es,8.200000000000001
Jorge García-Dihinx,Jorge García-Dihinx,PER,-1.1764131058742735,0.7527324346531379,es,7.6
Jorge García Dihinx,Jorge García Dihinx,PER,-0.7096500779417428,0.877622798254544,es,5.5
Pablo Motos,Pablo Motos,PER,-1.0013979251041663,0.48383584852482,es,4.3
Junko Tabei,Junko Tabei,PER,0.25650174959617505,1.3251610889154322,es,3.4
Eneko Arrastua,Eneko Arrastua,PER,-1.522120991995668,0.5362293280332405,es,3.3999999999999995
Àlex Corretja,Àlex Corretja,PER,-0.9712842406172838,0.16409987849848612,es,2.8
Ares Masip,Ares Masip,PER,-0.3734227821230888,1.1002362012863158,es,2.5
El Hormiguero,El Hormiguero,PER,-1.0836971845477819,1.0206095099449157,es,2.5
Donald Trump,Donald Trump,PER,-0.7730597437528723,1.570908998520198,es,2.2
José Manuel Villarejo,José Manuel Villarejo,PER,-0.6551722652818027,0.959809704830772,es,1.9
Javier López Madrid,Javier López Madrid,PER,-0.6551722652818027,0.959809704830772,es,1.9
Jorge García‑Dihinx,Jorge García‑Dihinx,PER,-0.4694705299640957,0.20614382859907654,es,1.9
Laura Dogu,Laura Dogu,PER,0.17418578965589404,1.866736225783825,es,1.6
Arancha Pérez Ponce,Arancha Pérez Ponce,PER,-1.5654677082784474,1.014381069689989,es,1.6
Martín Barreiro,Martín Barreiro,PER,-0.10943214409053326,1.8150286003947258,es,1.6
Nancy Grace Roman,Nancy Grace Roman,PER,0.5144576355814934,1.666824035346508,es,1.6
Jane Austen,Jane Austen,PER,-0.157495541498065,1.8509465083479881,es,1.6
Gabriel Oddone,Gabriel Oddone,PER,0.6600292003713548,1.8614442273974419,es,1.6
Elon Musk,Elon Musk,PER,0.2536123152822256,2.455274537205696,es,1.6
Julio Iglesias,Julio Iglesias,PER,-1.5150214999448508,0.9303377754986286,es,1.6
Delcy Rodríguez,Delcy Rodríguez,PER,0.1429216735638105,1.5316810057713435,es,1.3
Natalia Ramón,Natalia Ramón,PER,-0.314015642954753,1.5224817165961633,es,1.3
Ester Muñoz,Ester Muñoz,PER,-1.3984095949966173,0.005517739516038161,es,1.3
Marko Magister,Marko Magister,PER,1.2176447204099252,1.0886748937460091,es,1.3
Pedro Sánchez,Pedro Sánchez,PER,-1.3613303736425362,0.704402602635897,es,1.3
Rob Reiner,Rob Reiner,PER,0.11068342969967768,1.5190982818603516,es,1.3
Jorge Azcón,Jorge Azcón,PER,-1.4483706309245183,0.12295564779868492,es,1.3
Manos Limpias,Manos Limpias,PER,-1.2745081590345273,1.0197740334730883,es,1.3
Lucía Taboada,Lucía Taboada,PER,-0.9487637418967027,1.5146944156059852,es,1.3
Jorge García-Dinhix,Jorge García-Dinhix,PER,1.2257683735627394,1.4846402865189772,es,1.3
José Julián Gregorio,José Julián Gregorio,PER,0.06656094239308284,1.51667989217318,es,1.3
Diego González,Diego González,PER,0.23463554680347443,1.4452788463005652,es,1.3
John Guts,John Guts,PER,-1.2876357439045722,0.6843470610105075,es,1.3
Eric Adams,Eric Adams,PER,0.38027064444927067,1.5239217648139367,es,1.3
Jack Link,Jack Link,PER,-0.2837545138138991,1.2055847278008094,es,1.3
Belén Rodríguez,Belén Rodríguez,PER,-1.2876357439045722,0.6843470610105075,es,1.3
Luciano Azpiazu Canibell ,Luciano Azpiazu Canibell ,PER,0.2283566158551436,1.523685913819533,es,1.3
San Jacinto,San Jacinto,PER,-1.2884107635666928,1.2753793597221375,es,1.2
Isabel Díaz Novoa,Isabel Díaz Novoa,PER,-0.040725335478782654,0.8649137020111084,es,1.0
Jorge García Dinhix,Jorge García Dinhix,PER,-0.9006875157356262,0.005612779408693314,es,1.0
Juan Diego Echegaray,Juan Diego Echegaray,PER,-0.8422548770904541,0.6468935608863831,es,1.0
García Dihinx,García Dihinx,PER,-0.20411016792058945,0.9896131157875061,es,1.0
Vladímir Zelenski,Vladímir Zelenski,PER,0.12846270203590393,0.9928743839263916,es,1.0
Iñaki Arcocha,Iñaki Arcocha,PER,-0.058893606066703796,0.9103952050209045,es,1.0
Stephen King,Stephen King,PER,1.0219106152653694,2.8613675236701965,es,1.0
El Dorado,El Dorado,PER,-0.9380110297352076,0.6750889420509338,es,1.0
Jorge G,Jorge G,PER,0.2266531139612198,0.8318868279457092,es,1.0
Eneko Arrastua Sabía,Eneko Arrastua Sabía,PER,-0.5243961587548256,0.01186306495219469,es,1.0
David Bisbal,David Bisbal,PER,-0.39942415803670883,0.018824530765414238,es,1.0
Solana de VanEck,Solana de VanEck,PER,0.1633342131972313,0.9801515936851501,es,1.0
Gary Oldman,Gary Oldman,PER,-0.45600227266550064,0.7507321238517761,es,1.0
Steve Wozniak,Steve Wozniak,PER,0.6179833598434925,0.5673454403877258,es,1.0
Donald Trump vino,Donald Trump vino,PER,0.2428153119981289,0.9791154861450195,es,1.0
Peter Pernthaler,Peter Pernthaler,PER,-0.4828275740146637,0.8219953179359436,es,1.0
Jorge Javier,Jorge Javier,PER,-0.836963233537972,0.44482558965682983,es,1.0
Arturo Carmona,Arturo Carmona,PER,-0.8254204969853163,0.682573676109314,es,1.0
Emmanuel Macron,Emmanuel Macron,PER,0.22417793422937393,0.8680900931358337,es,1.0
Henry Jullien,Henry Jullien,PER,0.22417793422937393,0.8680900931358337,es,1.0
Daniel Kahneman,Daniel Kahneman,PER,-0.8510125214233994,0.9484155774116516,es,1.0
López Madrid,López Madrid,PER,-0.6224136520177126,0.9118192195892334,es,1.0
Antonio García Ferreras,Antonio García Ferreras,PER,-0.9092675503343344,0.11235351860523224,es,1.0
Óscar Puente,Óscar Puente,PER,-0.8284303033724427,0.6628531217575073,es,1.0
Ueli Kestenholz,Ueli Kestenholz,PER,-0.18307295441627502,0.2678815722465515,es,1.0
Omaira Sánchez,Omaira Sánchez,PER,-0.8631456466391683,0.0017566005699336529,es,1.0
Josh Safdie,Josh Safdie,PER,0.8563885632902384,0.11068832874298096,es,1.0
Sara Sálamo,Sara Sálamo,PER,0.5109552592039108,0.9719610214233398,es,1.0
Timothée Chalamet,Timothée Chalamet,PER,1.7127771265804768,0.22137665748596191,es,1.0
Jesús Navarro,Jesús Navarro,PER,0.6853472720831633,0.9509316086769104,es,1.0
hipotermia leve,hipotermia leve,PER,-0.6850226912647486,0.05698304623365402,es,1.0
Ken Libbrecht,Ken Libbrecht,PER,-0.26549598574638367,0.9359360933303833,es,1.0
Luis García Leer Mediaset,Luis García Leer Mediaset,PER,-0.6166964322328568,0.9845513701438904,es,1.0
Joseba Larragaña,Joseba Larragaña,PER,-0.6166964322328568,0.9845513701438904,es,1.0
Luis García,Luis García,PER,-0.6166964322328568,0.9845513701438904,es,1.0
Joseba Larrañaga,Joseba Larrañaga,PER,-0.6166964322328568,0.9845513701438904,es,1.0
Emiliano García-Page,Emiliano García-Page,PER,-0.7337527088820934,0.2419092208147049,es,1.0
Benny Safdie,Benny Safdie,PER,0.8563885632902384,0.11068832874298096,es,1.0
Nemesio Diez,Nemesio Diez,PER,0.5535842552781105,0.8531518578529358,es,1.0
Mahatma Gandhi,Mahatma Gandhi,PER,-0.336757130920887,0.9583076238632202,es,1.0
María Corina Machado,María Corina Machado,PER,-0.336757130920887,0.9583076238632202,es,1.0
Fernando Egúsquiza,Fernando Egúsquiza,PER,-0.9595998439472169,0.07336024194955826,es,1.0
Cyrano de Bergerac,Cyrano de Bergerac,PER,-1.5625707115978003,0.39152002334594727,es,1.0
Laura Lobo,Laura Lobo,PER,-0.36800504475831985,0.9376894235610962,es,1.0
San José,San José,PER,-0.778441327624023,0.6844018697738647,es,1.0
Papá Noel,Papá Noel,PER,-0.6367951184511185,0.0020997622050344944,es,1.0
Alberto Castellano Barragán,Alberto Castellano Barragán,PER,0.31747284159064293,0.9902172684669495,es,1.0
Horst Seibert,Horst Seibert,PER,-0.7637370694428682,0.8369370102882385,es,1.0
Robert Fico,Robert Fico,PER,-0.804251192137599,0.9687462449073792,es,1.0
Luis Argüello,Luis Argüello,PER,-0.9680841702502221,0.01849561184644699,es,1.0
Isaías Lafuente,Isaías Lafuente,PER,-0.4284430220723152,0.9183441400527954,es,1.0
Ferdinand Porsche,Ferdinand Porsche,PER,0.3970063626766205,0.9304982423782349,es,1.0
Darío Dolz,Darío Dolz,PER,0.31747284159064293,0.9902172684669495,es,1.0
Ernesto Zedillo Ponce,Ernesto Zedillo Ponce,PER,-0.9685102156363428,0.06346435099840164,es,1.0
Guillermo Alejandro,Guillermo Alejandro,PER,-0.21136298775672913,0.00970770139247179,es,1.0
Mabel de Holanda,Mabel de Holanda,PER,-0.21136298775672913,0.00970770139247179,es,1.0
Gilbert Godinez,Gilbert Godinez,PER,0.1473335474729538,0.9343752264976501,es,1.0
Ida Engvoll,Ida Engvoll,PER,0.911748718470335,0.40224984288215637,es,1.0
Fernando Chico Pardo,Fernando Chico Pardo,PER,0.6165519170463085,0.9914830327033997,es,1.0
Joshua Safdie,Joshua Safdie,PER,0.8563885632902384,0.11068832874298096,es,1.0
Marty Supreme,Marty Supreme,PER,0.8563885632902384,0.11068832874298096,es,1.0
Steve Jobs,Steve Jobs,PER,0.6179833598434925,0.5673454403877258,es,1.0
Leer Eugenio Domínguez,Leer Eugenio Domínguez,PER,-0.4442666247487068,0.9570741057395935,es,1.0
Eugenio Domínguez,Eugenio Domínguez,PER,-0.4442666247487068,0.9570741057395935,es,1.0
Sarah Connor,Sarah Connor,PER,0.4008128345012665,0.8774281740188599,es,1.0
Anthony Enzor-DeMeo,Anthony Enzor-DeMeo,PER,-0.3678465262055397,0.9893736243247986,es,1.0
