,Hazard,Causes,Mitigation,Impacts,Adaptation,Invalid
2025-10-26,0.0,0,0.0,0.0,0,0.9
2025-10-28,0.8,0,0.0,0.0,0,0.0
2025-10-30,0.9,0,0.0,0.0,0,2.0
2025-11-02,1.9,0,0.0,0.0,0,0.0
2025-11-03,2.8,0,0.0,0.0,0,0.9
2025-11-04,2.0,0,0.0,0.0,0,2.0
2025-11-05,0.0,0,0.0,0.0,0,1.9
2025-11-06,0.0,0,0.0,0.0,0,1.0
2025-11-10,0.9,0,0.0,0.0,0,1.0
2025-11-11,0.9,0,0.0,0.0,0,1.0
2025-11-12,0.0,0,0.0,0.0,0,0.9
2025-11-13,0.0,0,0.9,0.0,0,2.5999999999999996
2025-11-14,0.0,0,0.0,0.0,0,2.3
2025-11-15,0.0,0,0.0,0.0,0,1.0
2025-11-18,0.0,0,0.0,0.0,0,1.7
2025-11-19,0.0,0,0.0,0.0,0,0.7
2025-11-20,0.0,0,0.0,0.0,0,1.0
2025-11-21,0.0,0,0.0,0.0,0,1.7
2025-11-22,0.0,0,0.0,0.0,0,1.7
2025-11-23,0.0,0,0.0,0.0,0,1.0
2025-11-24,0.0,0,0.0,0.0,0,2.0
2025-11-25,0.0,0,0.0,0.0,0,2.0
2025-11-26,0.0,0,0.0,0.0,0,0.9
2025-11-27,1.8,0,0.0,0.9,0,1.9
2025-11-28,0.0,0,0.0,0.0,0,1.0
2025-11-29,0.0,0,0.0,0.0,0,0.7
2025-12-01,0.0,0,0.0,0.0,0,2.3
2025-12-02,0.0,0,0.0,0.0,0,3.9
2025-12-03,0.0,0,0.0,0.0,0,2.7
2025-12-05,0.0,0,0.0,0.0,0,2.2
2025-12-06,0.0,0,0.0,0.0,0,1.4
2025-12-07,0.0,0,0.0,0.0,0,0.6
2025-12-09,0.0,0,0.0,0.0,0,0.7
2025-12-10,0.0,0,0.0,0.0,0,1.4
2025-12-11,0.0,0,0.0,0.0,0,1.4
2025-12-12,0.0,0,0.0,0.0,0,2.0
2025-12-13,0.0,0,0.0,0.0,0,2.0
2025-12-14,0.0,0,0.0,0.0,0,2.4
2025-12-15,0.9,0,0.0,0.0,0,10.799999999999997
2025-12-16,0.9,0,0.0,0.0,0,9.799999999999999
2025-12-17,0.0,0,0.0,0.0,0,0.7
2025-12-18,0.0,0,0.0,0.0,0,1.4
2025-12-19,0.0,0,0.0,0.0,0,0.7
